Date,BBAS3.SA,BPAC11.SA,CURY3.SA,ENGI11.SA,GOOGL,ITUB4.SA,MBRF3.SA,MSFT,MULT3.SA,NVDA,PRIO3.SA,RAIL3.SA,RDOR3.SA,RENT3.SA,SUZB3.SA,TEND3.SA,WEGE3.SA,IBOVESPA,CDI
2023-09-13,20.301677703857422,30.27474594116211,11.946720123291016,38.59224319458008,135.50840759277344,19.312236785888672,6.410019874572754,328.98724365234375,22.596229553222656,45.40030288696289,48.12270736694336,22.092674255371094,25.29595375061035,55.28609848022461,46.537635803222656,12.555390357971191,34.11503219604492,118176.0,130.76462951815685
2023-09-14,20.357519149780273,30.975374221801758,11.708937644958496,38.719791412353516,136.88619995117188,19.235679626464844,6.324324607849121,331.57171630859375,23.009309768676758,45.496131896972656,49.171024322509766,22.680044174194336,24.66721534729004,54.31092071533203,47.44523239135742,12.481751441955566,33.3298225402832,119392.0,130.81762339491218
2023-09-15,20.426250457763672,30.237871170043945,11.672910690307617,40.617122650146484,136.19236755371094,19.193927764892578,6.212920188903809,323.2701110839844,22.147994995117188,43.8182487487793,49.32078170776367,22.58530616760254,24.787792205810547,52.975555419921875,48.649192810058594,12.15037727355957,33.348289489746094,118758.0,130.87063874804826
2023-09-18,20.3403377532959,29.730833053588867,11.773788452148438,40.03516387939453,136.9952392578125,19.145214080810547,6.110085964202881,322.1345520019531,21.998586654663086,43.88412857055664,48.08277130126953,22.490568161010742,24.434667587280273,52.67686080932617,48.20465087890625,12.362089157104492,33.061927795410156,118288.0,130.92367558626867
2023-09-19,20.310272216796875,28.947227478027344,11.651294708251953,39.620628356933594,136.8267059326172,19.088499069213867,6.358602523803711,321.7331848144531,22.06889533996582,43.438968658447266,48.63188934326172,22.500041961669922,23.9437313079834,52.624141693115234,48.88072204589844,12.214812278747559,33.23743438720703,117846.0,130.97673391828047
2023-09-20,20.490690231323242,28.633787155151367,12.047595024108887,39.883705139160156,132.5645294189453,19.411785125732422,6.247198581695557,314.0190124511719,22.13041877746582,42.16034698486328,48.63188934326172,22.623199462890625,23.676733016967773,52.492366790771484,50.8348388671875,12.31606388092041,33.061927795410156,118695.0,131.02981375279427
2023-09-21,20.0224552154541,28.421756744384766,11.687321662902832,39.30971908569336,129.2935333251953,18.96901512145996,6.118655204772949,312.8051452636719,21.69976043701172,40.940616607666016,46.36552810668945,22.244251251220703,22.824060440063477,51.40298080444336,51.87209701538086,11.819003105163574,32.31365966796875,116145.0,131.08291509852418
2023-09-22,20.056819915771484,28.596914291381836,11.672910690307617,38.98286819458008,129.10519409179688,18.91982078552246,6.032959938049316,310.33819580078125,21.90190887451172,41.53252410888672,46.68501281738281,22.196884155273438,22.755155563354492,51.08671188354492,51.288639068603516,11.294328689575195,31.953393936157227,116009.0,131.13603796418792
2023-09-25,19.940837860107422,28.486286163330078,11.2454833984375,38.966922760009766,129.9576416015625,18.976045608520508,5.981542587280273,310.85699462890625,21.655820846557617,42.143375396728516,46.9046630859375,22.15898895263672,22.694869995117188,50.840728759765625,51.13119888305664,10.907726287841797,33.433834075927734,115925.0,131.18918235850666
2023-09-26,19.657318115234375,27.85018539428711,11.089192390441895,37.77113342285156,127.43998718261719,18.694921493530273,5.998681545257568,305.5706481933594,21.05817413330078,41.83295822143555,46.85474395751953,21.647409439086914,22.005840301513672,50.375099182128906,50.343994140625,10.723628044128418,33.3875617980957,114193.0,131.24234829020514
2023-09-27,19.829145431518555,27.555179595947266,11.230597496032715,37.332672119140625,129.3926239013672,18.659786224365234,6.050098896026611,306.20697021484375,20.99664878845215,42.388919830322266,48.2225456237793,21.12635612487793,21.463232040405273,49.71619415283203,50.07542419433594,11.045799255371094,33.3320426940918,114327.0,131.29553576801163
2023-09-28,20.464914321899414,28.32034683227539,11.945069313049316,37.66749954223633,131.1470947265625,19.151748657226562,6.067237854003906,307.0390625,21.409826278686523,43.00876235961914,47.16424560546875,21.58109474182129,21.480459213256836,50.606224060058594,49.85315704345703,11.404787063598633,33.674434661865234,115731.0,131.34874480065795
